,conc_water,conc_co2,conc_nh3,r_1,g_1,b_1,r_4,g_4,b_4,r_23,g_23,b_23,r_145,g_145,b_145
0_100_1900_6,19.0,0,1,225.50496453900712,201.7929078014185,201.21702127659572,226.65528455284556,210.57560975609755,232.46666666666667,223.77366255144037,204.3950617283951,226.46090534979425,239.33846153846156,178.63760683760682,141.62735042735042
0_100_1900_7,19.0,0,1,223.62836879432624,202.04822695035463,199.8099290780142,226.59674796747967,210.7674796747968,231.2048780487805,223.1934156378601,205.40740740740745,226.5761316872428,230.765811965812,162.57435897435897,142.17094017094018
0_100_1900_8,19.0,0,1,224.84113475177307,202.5163120567376,199.8,227.11056910569107,210.36747967479675,231.1756097560976,223.1934156378601,204.62962962962965,227.19753086419755,239.97435897435895,178.72307692307692,141.78803418803415
0_100_1900_9,19.0,0,1,225.5375886524823,202.0936170212766,199.581560283688,227.0520325203252,210.75284552845528,231.66341463414636,223.23868312757205,204.33333333333331,226.29218106995887,239.4820512820513,178.36581196581196,142.0222222222222
500_200_1900_0,19.0,5,2,233.31063829787237,209.2808510638298,201.1872340425532,226.38861788617885,210.25853658536585,232.85040650406503,225.52674897119343,206.0123456790124,227.9135802469136,231.2102564102564,163.46495726495726,147.82393162393163
500_200_1900_1,19.0,5,2,233.3517730496454,209.54468085106384,201.1872340425532,226.38861788617885,210.58536585365852,232.9008130081301,226.0123456790124,206.1316872427984,227.32098765432104,231.79145299145296,163.08205128205128,147.65470085470085
500_200_1900_2,19.0,5,2,232.22836879432623,209.31489361702128,200.9631205673759,225.2439024390244,210.59674796747967,232.52520325203253,225.1687242798354,206.71604938271608,228.08641975308643,231.5623931623932,163.32478632478632,147.41538461538462
500_200_1900_3,19.0,5,2,232.7687943262412,209.7063829787234,200.68510638297877,226.38861788617885,210.55447154471543,232.87479674796748,226.0123456790124,206.4897119341564,228.08641975308643,231.82222222222225,163.66837606837606,147.12991452991454
500_200_1900_4,19.0,5,2,232.5290780141844,209.6567375886525,200.74326241134756,226.0650406504065,210.55447154471543,232.9008130081301,226.79012345679016,205.6584362139918,228.3127572016461,232.11452991452992,163.6991452991453,148.2803418803419
500_200_1900_5,19.0,5,2,232.1645390070922,209.6567375886525,200.9631205673759,226.60650406504064,210.7479674796748,233.3089430894309,225.2880658436214,206.1316872427984,227.6748971193416,231.6034188034188,163.46495726495726,147.41538461538462
